timestamp;ecg
0;502
1;505
2;504
0;504
4;503
5;500
6;500
7;510
8;506
9;503
10;501
11;498
12;503
13;508
14;510
15;502
16;504
17;506
18;504
19;503
20;504
21;508
22;495
23;508
17;504
18;502
19;502
20;504
21;507
22;499
23;507
17;496
18;502
19;511
20;505
21;510
36;510
37;501
38;505
39;498
40;496
41;500
42;499
43;505
44;503
45;502
46;511
47;503
48;509
49;500
50;496
51;495
52;504
53;505
54;501
55;504
56;505
57;507
58;508
59;501
60;507
61;498
62;496
63;504
64;506
65;506
66;502
67;500
68;504
69;512
70;506
71;501
72;508
73;501
74;507
75;499
76;498
77;496
78;508
79;502
80;505
81;498
82;501
83;512
84;504
85;499
86;500
87;504
88;506
89;508
90;502
91;501
92;497
93;502
94;500
95;512
96;506
97;496
98;512
99;495
100;501
101;505
102;507
103;512
104;505
105;492
106;500
107;509
108;505
109;503
110;501
111;501
112;502
113;499
114;502
115;505
116;505
117;506
118;512
119;506
120;500
121;499
122;508
123;513
124;500
125;500
126;503
127;502
128;500
129;504
130;505
131;496
132;503
133;500
134;507
135;506
136;508
137;504
138;499
139;502
140;505
141;502
142;506
143;503
144;501
145;511
146;497
147;496
148;507
149;500
150;504
151;511
152;502
153;507
154;494
155;502
156;497
157;504
158;507
159;503
160;499
161;503
162;508
163;508
164;512
165;502
166;500
167;502
168;509
169;502
170;500
171;503
172;504
173;508
174;502
175;508
176;506
177;500
178;515
179;496
180;501
181;507
182;497
183;508
184;508
185;507
186;502
187;501
188;500
189;499
190;497
191;502
192;506
193;499
194;504
195;505
196;506
197;502
198;510
199;507
200;504
201;500
202;505
203;507
204;501
205;508
206;497
207;499
208;498
209;503
210;499
211;497
212;508
213;508
214;508
215;503
216;505
217;503
218;505
219;508
220;502
221;501
222;503
223;503
224;499
225;504
226;501
227;497
228;502
229;508
230;505
231;510
232;503
233;513
234;505
235;488
236;504
237;506
238;508
239;505
240;503
241;504
242;505
243;505
244;499
245;506
246;496
247;506
248;505
249;501
250;506
251;506
252;500
253;507
254;505
255;499
256;496
257;503
258;513
259;497
260;508
261;499
262;506
263;509
264;503
265;506
266;504
267;498
268;506
269;497
270;506
271;509
272;503
273;502
274;503
