timestamp;ecg
0;505
1;502
2;510
3;503
4;501
5;499
6;505
7;508
8;506
9;513
10;499
11;504
12;500
13;508
14;509
15;502
16;496
17;497
18;499
19;509
20;506
21;508
22;502
23;502
24;496
25;504
26;504
27;501
28;503
29;510
30;506
31;502
32;504
33;506
34;507
35;499
36;499
37;502
38;505
39;510
40;509
41;508
42;507
43;504
44;507
45;492
46;502
47;500
48;506
49;502
50;510
51;507
52;500
53;505
54;512
55;505
56;499
57;498
58;498
59;500
60;496
61;500
62;510
63;511
64;506
65;502
66;501
67;505
68;503
69;507
70;509
71;505
72;505
73;502
74;503
75;504
76;501
77;499
78;499
79;519
80;502
81;500
82;505
83;503
84;503
85;503
86;505
87;503
88;507
89;505
90;504
91;505
92;499
93;500
94;505
95;503
96;499
97;498
98;496
99;506
100;505
101;500
102;509
103;504
104;499
105;496
106;507
107;504
108;497
109;504
110;503
111;511
112;501
113;501
114;498
115;496
116;505
117;493
118;511
119;504
120;502
121;510
122;500
123;509
124;499
125;500
126;504
127;502
128;505
129;505
130;503
131;511
132;497
133;506
134;514
135;502
136;504
137;501
138;496
139;503
140;499
141;499
142;502
143;502
144;501
145;505
146;508
147;500
148;511
149;508
150;502
151;502
152;503
153;507
154;508
155;500
156;503
157;503
158;505
159;505
160;514
161;495
162;498
163;502
164;510
165;504
166;506
167;500
168;503
169;502
170;504
171;505
172;501
173;503
174;505
175;501
176;508
177;495
178;504
179;500
180;509
181;505
182;499
183;501
184;504
185;508
186;507
187;496
188;503
189;507
190;503
191;502
192;504
193;494
194;511
195;501
196;497
197;501
198;501
199;512
200;508
201;489
202;505
203;501
204;511
205;500
206;500
207;506
208;499
209;502
210;505
211;510
212;507
213;502
214;511
215;500
216;497
217;499
218;500
219;507
220;506
221;505
222;504
223;494
224;504
225;508
226;504
227;503
228;502
229;497
230;500
231;496
232;501
233;504
234;509
235;500
236;505
237;503
238;497
239;503
240;500
241;499
242;507
243;502
244;511
245;507
246;508
247;511
248;500
249;505
250;497
251;503
252;504
253;503
254;504
255;502
256;497
257;500
258;501
259;508
260;507
261;501
262;492
263;504
264;511
265;504
266;494
267;499
268;509
269;505
270;497
271;506
272;504
273;508
274;502
275;499
276;496
277;502
278;503
279;511
280;498
281;506
282;496
283;496
284;502
285;501
286;503
287;505
288;505
289;505
290;504
291;501
292;495
293;505
294;511
295;504
296;500
297;499
298;502
299;502
300;498
301;500
302;507
303;504
304;512
305;501
306;506
307;501
308;499
309;516
310;512
311;504
312;504
313;494
314;515
315;499
316;500
317;504
318;493
319;516
320;506
321;501
322;500
323;502
324;504
325;499
326;504
327;498
328;500
329;506
330;499
331;515
332;504
333;499
334;502
335;499
336;513
337;497
338;500
339;503
340;500
341;510
342;507
343;500
344;505
345;510
346;504
347;504
348;508
349;509
350;504
351;505
352;506
353;504
354;497
355;500
356;509
357;496
358;501
359;512
360;501
361;511
362;504
363;502
364;498
365;505
366;506
367;504
368;502
369;503
370;506
371;495
372;500
373;510
374;510
375;494
376;496
377;499
378;507
379;508
380;499
381;500
382;498
383;497
384;515
385;505
386;494
387;499
388;500
389;513
390;510
391;514
392;491
393;510
394;509
395;497
396;496
397;499
398;501
399;504
400;509
401;503
402;497
403;504
404;503
405;510
406;508
407;494
408;503
409;497
410;506
411;500
412;505
413;500
414;513
415;511
416;497
417;505
418;498
419;511
420;508
421;502
422;496
423;508
424;510
425;500
426;501
427;499
428;498
429;506
430;510
431;502
432;502
433;502
434;507
435;506
436;501
437;498
